Region,District,Sub-county,0-4,0-8,0-17,12-Jun,13-18,18-30,14-64,60+,15-24,15-29,15 -49,65+
Eastern,Tororo,Mukuju,6745,11911,21817,8611,6047,7268,19014,1926,7677,9702,8269,1334
Eastern,Tororo,Osukuru,7830,13497,24820,9564,7116,9383,23614,1945,9408,12188,10311,1373
Eastern,Tororo,Iyolwa,3994,6918,12230,4838,3140,3690,9472,895,3762,4887,4181,616
Eastern,Tororo,Kirewa,5343,9268,16644,6541,4414,4809,13268,1603,5326,6638,5723,1143
Eastern,Tororo,Kisoko,3073,5560,10503,4261,3049,3758,9673,1008,3967,4985,4195,689
Eastern,Tororo,Magola,3221,5752,10318,4076,2851,3273,8692,985,3487,4405,3812,694
Eastern,Tororo,Mulanda,7321,12696,22690,8875,6137,6995,18511,2245,7464,9382,8018,1579
Eastern,Tororo,Nabuyoga,6011,10501,18538,7308,4801,5522,14431,1445,5718,7353,6235,1027
Eastern,Tororo,Nagongera,4638,8221,14892,5921,3968,4509,12220,1437,4918,6131,5321,1019
Eastern,Tororo,Nagongera Town Council,2125,3795,6941,2725,1966,2257,6084,615,2443,3085,2683,417
Eastern,Tororo,Paya,5532,9766,17294,6897,4446,5123,14039,1589,5410,6847,6028,1092
Eastern,Tororo,Petta,2924,5049,9077,3541,2456,2985,7735,869,3077,3916,3345,596
Eastern,Tororo,Rubongi,6145,10842,20370,7998,6095,7396,18886,1832,7691,9678,8181,1262
Eastern,Tororo,Sop-Sop,2846,4886,8513,3347,2138,2646,6825,712,2740,3508,3025,474
Eastern,Tororo,Eastern Division,2648,4626,9081,3414,3008,4622,10784,618,4367,5792,5016,391
Eastern,Tororo,Western Division,3295,5596,10875,4062,3587,5994,13259,624,5322,7320,6442,397
Eastern,Tororo,District,91269,159573,291043,114302,81049,101178,258554,24972,103690,132808,114276,17213
